Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2011,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1160.5
2012,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1439.2
2013,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1392.6
2014,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1133.0
2015,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1190.1
2016,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1125.2
2017,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1183.5
2018,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1144.2
2010,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,828.8
2011,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,884.7
2012,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,904.0
2013,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,938.2
2014,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,882.9
2015,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,1011.8
2016,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,944.0
2017,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,991.6
2018,Годовая,Национальный,Общий объем забора пресной воды ,Таласская область,,Миллион кубометров в год,963.3
2010,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,2803.6
2011,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,3138.1
2012,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,4140.0
2013,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,3039.3
2014,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,2833.6
2015,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,2368.2
2016,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,2367.9
2017,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,2500.5
2018,Годовая,Национальный,Общий объем забора пресной воды ,Чуйская область,,Миллион кубометров в год,2634.0
2010,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,135.9
2011,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,113.4
2012,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,114.5
2013,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,115.7
2014,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,118.8
2015,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,113.7
2016,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,113.2
2017,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,117.7
2018,Годовая,Национальный,Общий объем забора пресной воды ,г. Бишкек,,Миллион кубометров в год,121.8
2010,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,82.9
2011,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.1
2012,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.1
2013,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.1
2014,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.1
2015,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.1
2016,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.0
2017,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.0
2018,Годовая,Национальный,Общий объем забора пресной воды ,г. Ош,,Миллион кубометров в год,57.0
