Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,22.4
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,22.9
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,26.1
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,25.5
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,27.0
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,36.2
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,26.0
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,32.2
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Чуйская область,Процент,29.9
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,18.2
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,22.0
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,20.9
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,21.0
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,21.0
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,21.0
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,20.9
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Бишкек,Процент,20.8
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Ош,Процент,12.0
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,г. Ош,Процент,12.0
