Year,Частота наблюдений,Тип отчетности,Series,Территория,Тип местности,Units,Сноски для временных рядов,Value
2014,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,3.2
2015,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,1.7
2016,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,3.1
2017,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,1.7
2018,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,0.3
2010,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,0.5
2011,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,1.0
2012,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,1.2
2013,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,1.0
2014,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,0.0
2015,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,0.8
2016,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,0.0
2017,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,0.0
2018,Годовая,Национальный,_L_KG_010101_1A,г. Бишкек,,PT,,0.3
2013,Годовая,Национальный,_L_KG_010101_1A,г. Ош,,PT,,3.5
2014,Годовая,Национальный,_L_KG_010101_1A,г. Ош,,PT,,3.1
2015,Годовая,Национальный,_L_KG_010101_1A,г. Ош,,PT,,1.7
2016,Годовая,Национальный,_L_KG_010101_1A,г. Ош,,PT,,0.0
2017,Годовая,Национальный,_L_KG_010101_1A,г. Ош,,PT,,1.2
2018,Годовая,Национальный,_L_KG_010101_1A,г. Ош,,PT,,0.6
