Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,4.2
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,3.8
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,3.2
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,2.5
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,2.8
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,2.4
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,1.8
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,2.3
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,3.9
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,4.3
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,1.6
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,1.6
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,2.7
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,1.1
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,2.2
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,1.8
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,2.5
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,2.5
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Ош,На 100 000 населения,1.7
