Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.028178
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.047988
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.006461
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.37
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.01574
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.003371
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.006958
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.034602
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.61872
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.001192
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Ош,Процент,0.202023
