Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Units,Value
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Нарынская область,"Per 100,000 population",3.6
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Нарынская область,"Per 100,000 population",2.9
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Нарынская область,"Per 100,000 population",2.5
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Нарынская область,"Per 100,000 population",2.1
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Нарынская область,"Per 100,000 population",2.1
2014,Annual,National,Number of victims of intentional homicide,Нарынская область,Number,10.0
2015,Annual,National,Number of victims of intentional homicide,Нарынская область,Number,8.0
2016,Annual,National,Number of victims of intentional homicide,Нарынская область,Number,7.0
2017,Annual,National,Number of victims of intentional homicide,Нарынская область,Number,6.0
2018,Annual,National,Number of victims of intentional homicide,Нарынская область,Number,6.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Ошская область,"Per 100,000 population",1.3
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Ошская область,"Per 100,000 population",1.8
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Ошская область,"Per 100,000 population",1.1
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Ошская область,"Per 100,000 population",0.8
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Ошская область,"Per 100,000 population",1.3
2014,Annual,National,Number of victims of intentional homicide,Ошская область,Number,16.0
2015,Annual,National,Number of victims of intentional homicide,Ошская область,Number,23.0
2016,Annual,National,Number of victims of intentional homicide,Ошская область,Number,14.0
2017,Annual,National,Number of victims of intentional homicide,Ошская область,Number,11.0
2018,Annual,National,Number of victims of intentional homicide,Ошская область,Number,18.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Таласская область,"Per 100,000 population",3.2
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Таласская область,"Per 100,000 population",0.0
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Таласская область,"Per 100,000 population",3.5
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Таласская область,"Per 100,000 population",4.2
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Таласская область,"Per 100,000 population",0.8
2014,Annual,National,Number of victims of intentional homicide,Таласская область,Number,8.0
2015,Annual,National,Number of victims of intentional homicide,Таласская область,Number,0.0
2016,Annual,National,Number of victims of intentional homicide,Таласская область,Number,9.0
2017,Annual,National,Number of victims of intentional homicide,Таласская область,Number,11.0
2018,Annual,National,Number of victims of intentional homicide,Таласская область,Number,2.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Чуйская область,"Per 100,000 population",10.0
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Чуйская область,"Per 100,000 population",9.8
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Чуйская область,"Per 100,000 population",8.4
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Чуйская область,"Per 100,000 population",8.1
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Чуйская область,"Per 100,000 population",6.6
2014,Annual,National,Number of victims of intentional homicide,Чуйская область,Number,87.0
2015,Annual,National,Number of victims of intentional homicide,Чуйская область,Number,87.0
2016,Annual,National,Number of victims of intentional homicide,Чуйская область,Number,76.0
2017,Annual,National,Number of victims of intentional homicide,Чуйская область,Number,75.0
2018,Annual,National,Number of victims of intentional homicide,Чуйская область,Number,62.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Бишкек,"Per 100,000 population",6.9
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Бишкек,"Per 100,000 population",6.3
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Бишкек,"Per 100,000 population",4.1
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Бишкек,"Per 100,000 population",6.1
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Бишкек,"Per 100,000 population",4.7
2014,Annual,National,Number of victims of intentional homicide,г. Бишкек,Number,65.0
2015,Annual,National,Number of victims of intentional homicide,г. Бишкек,Number,60.0
2016,Annual,National,Number of victims of intentional homicide,г. Бишкек,Number,40.0
2017,Annual,National,Number of victims of intentional homicide,г. Бишкек,Number,61.0
2018,Annual,National,Number of victims of intentional homicide,г. Бишкек,Number,48.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Ош,"Per 100,000 population",4.4
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Ош,"Per 100,000 population",4.4
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Ош,"Per 100,000 population",2.1
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Ош,"Per 100,000 population",5.5
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",г. Ош,"Per 100,000 population",4.0
2014,Annual,National,Number of victims of intentional homicide,г. Ош,Number,12.0
2015,Annual,National,Number of victims of intentional homicide,г. Ош,Number,12.0
2016,Annual,National,Number of victims of intentional homicide,г. Ош,Number,6.0
2017,Annual,National,Number of victims of intentional homicide,г. Ош,Number,16.0
2018,Annual,National,Number of victims of intentional homicide,г. Ош,Number,12.0
