Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,114.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,115.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,118.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,113.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,113.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,117.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,121.8
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,82.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.1
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG21,,CL_UNIT_MEASURE.M_M3_PER_YR,57.0
