Year,FREQ,REPORTING_TYPE,Series,REF_AREA,AGE,Units,Value
2015,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,12.614628
2016,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,10.407594
2017,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,6.655345
2018,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,6.8
2007,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,31.519613
2008,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,29.87456
2009,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,27.261589
2010,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,25.128553
2011,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,24.125335999999997
2012,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,21.38653
2013,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,22.854904
2014,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,25.985737
2015,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,23.028610999999998
2016,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,22.846557999999998
2017,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,23.162225
2018,A,N,SH_DYN_NMRT,KG11,M0,PER_1000_LIVE_BIRTHS,22.9
2007,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,49.506943
2008,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,42.992096000000004
2009,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,49.784765
2010,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,42.06501
2011,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,46.632124
2012,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,53.846154000000006
2013,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,55.639098
2014,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,63.961301
2015,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,61.963775
2016,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,50.222162
2017,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,46.864858
2018,A,N,SH_DYN_NMRT,KG21,M0,PER_1000_LIVE_BIRTHS,34.2
