Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2009,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,5.848427
2010,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,4.917674
2011,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,7.9955229999999995
2012,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,7.042811
2013,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,6.5
2014,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,5.2
2015,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,4.7
2016,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,2.5
2017,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,5.4
2018,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,2.8660799999999997
2007,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,13.555773
2008,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,8.824444999999999
2009,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,12.43031
2010,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,13.683759
2011,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,14.018523000000002
2012,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,9.395469
2013,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,13.3
2014,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,8.7
2015,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,6.0
2016,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,6.4
2017,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,3.8
2018,A,N,SH_HAP_HBSAG,KG02,M,PER_100000_POP,9.498716
2007,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,12.055783
2008,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,7.000703999999999
2009,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,11.614177
2010,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,7.669975999999999
2011,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,11.003939
2012,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,6.753639
2013,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,6.7
2014,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,4.4
2015,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,2.2
2016,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,4.3
2017,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,2.8
2018,A,N,SH_HAP_HBSAG,KG04,,PER_100000_POP,3.152773
2007,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,10.98996
2008,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,7.0714690000000004
2009,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,3.9166839999999996
2010,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,4.6612800000000005
2011,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,9.231337
2012,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,5.330531
2013,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,4.5
2014,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,2.2
2015,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,1.5
2016,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,1.5
2017,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,3.6
2018,A,N,SH_HAP_HBSAG,KG04,F,PER_100000_POP,2.853067
2007,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,13.102219999999999
2008,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,6.931341000000001
2009,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,19.135679999999997
2010,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,10.603089
2011,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,12.729315
2012,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,8.135854
2013,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,8.8
2014,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,6.5
2015,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,2.9
2016,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,7.1
2017,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,2.1
2018,A,N,SH_HAP_HBSAG,KG04,M,PER_100000_POP,3.4420330000000003
2007,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,3.797045
2008,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,4.1173269999999995
2009,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,7.480760000000001
2010,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,8.360244999999999
2011,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,6.407336
2012,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,4.222387
2013,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,5.1
2014,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,6.3
2015,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,3.5
2016,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,4.6
2017,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,5.9
2018,A,N,SH_HAP_HBSAG,KG06,,PER_100000_POP,4.442955
2007,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,3.9205949999999996
2008,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,3.504507
2009,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,5.269824
