Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.EDUCATION_LEV,Units,Value
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,8890
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,9214
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,8551
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,7089
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,8522
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,5530
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4469
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4096
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,3916
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,3020
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.F,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4023
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,6761
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4421
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,5118
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4635
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4069
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040401_1A,CL_AREA.KG,CL_SEX.M,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.NUMBER,4491
