Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,15.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,18.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,18.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,16.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,15.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,16.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.M,,CL_UNIT_MEASURE.PT,12.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.6
