Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,Units,Value
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,10.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,9.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,8.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,8.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,7.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,7.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,,,CL_UNIT_MEASURE.PT,6.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.M,,CL_UNIT_MEASURE.PT,5.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG11,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,,,CL_UNIT_MEASURE.PT,4.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,,,CL_UNIT_MEASURE.PT,4.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,,,CL_UNIT_MEASURE.PT,3.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,,,CL_UNIT_MEASURE.PT,3.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,,,CL_UNIT_MEASURE.PT,3.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,,,CL_UNIT_MEASURE.PT,3.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.M,,CL_UNIT_MEASURE.PT,3.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.M,,CL_UNIT_MEASURE.PT,5.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.M,,CL_UNIT_MEASURE.PT,5.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.M,,CL_UNIT_MEASURE.PT,6.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.M,,CL_UNIT_MEASURE.PT,4.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.M,,CL_UNIT_MEASURE.PT,3.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.F,,CL_UNIT_MEASURE.PT,3.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.F,,CL_UNIT_MEASURE.PT,3.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.F,,CL_UNIT_MEASURE.PT,2.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.F,,CL_UNIT_MEASURE.PT,3.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG21,CL_SEX.F,,CL_UNIT_MEASURE.PT,2.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,19.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,16.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,17.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,17.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,19.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,18.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y15T19,CL_UNIT_MEASURE.PT,13.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,12.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,10.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,10.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,10.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,10.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,10.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y20T29,CL_UNIT_MEASURE.PT,9.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,6.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,7.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,6.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,6.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,5.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,5.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y30T39,CL_UNIT_MEASURE.PT,4.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,5.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,6.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,6.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,5.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,5.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,5.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y40T49,CL_UNIT_MEASURE.PT,4.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,4.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,6.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,5.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,4.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,3.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,3.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y50T59,CL_UNIT_MEASURE.PT,4.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,2.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,3.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,2.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,2.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,1.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,1.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y60T69,CL_UNIT_MEASURE.PT,2.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y_GE70,CL_UNIT_MEASURE.PT,0.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y_GE70,CL_UNIT_MEASURE.PT,1.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y_GE70,CL_UNIT_MEASURE.PT,2.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y_GE70,CL_UNIT_MEASURE.PT,1.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y_GE70,CL_UNIT_MEASURE.PT,0.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG,,CL_AGE.Y_GE70,CL_UNIT_MEASURE.PT,0.3
