Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,4.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,4.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,0.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,0.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,2.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,0.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,0.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,2.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,2.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,2.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,0.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG08,CL_UNIT_MEASURE.PT,0.2
