Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2011,Annual,National,_L_KG_160104_A2,Chui,PT,5.3055959999999995
2012,Annual,National,_L_KG_160104_A2,Chui,PT,5.752841
2013,Annual,National,_L_KG_160104_A2,Chui,PT,5.859081
2014,Annual,National,_L_KG_160104_A2,Chui,PT,5.610561
2015,Annual,National,_L_KG_160104_A2,Chui,PT,4.5309
2016,Annual,National,_L_KG_160104_A2,Chui,PT,5.81876
2017,Annual,National,_L_KG_160104_A2,Chui,PT,6.0367
2018,Annual,National,_L_KG_160104_A2,Chui,PT,10.008187
2007,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,17.506545000000003
2008,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,15.300865
2009,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,14.217706
2010,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,15.744136
2011,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,14.394252
2012,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,14.448038
2013,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,15.28626
2014,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,14.864035999999999
2015,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,12.481577
2016,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,12.093525999999999
2017,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,11.219696
2018,Annual,National,_L_KG_160104_A2,Bishkek (city),PT,27.432646999999996
2007,Annual,National,_L_KG_160104_A2,Osh (city),PT,14.014054999999999
2008,Annual,National,_L_KG_160104_A2,Osh (city),PT,13.525773000000001
2009,Annual,National,_L_KG_160104_A2,Osh (city),PT,12.5
2010,Annual,National,_L_KG_160104_A2,Osh (city),PT,5.6182
2011,Annual,National,_L_KG_160104_A2,Osh (city),PT,12.006861
2012,Annual,National,_L_KG_160104_A2,Osh (city),PT,10.845431
2013,Annual,National,_L_KG_160104_A2,Osh (city),PT,11.443014999999999
2014,Annual,National,_L_KG_160104_A2,Osh (city),PT,9.732747999999999
2015,Annual,National,_L_KG_160104_A2,Osh (city),PT,9.389671
2016,Annual,National,_L_KG_160104_A2,Osh (city),PT,10.341766999999999
2017,Annual,National,_L_KG_160104_A2,Osh (city),PT,10.013292
2018,Annual,National,_L_KG_160104_A2,Osh (city),PT,27.852349
