Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Composite breakdown,Units,Value
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,10.4
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.4
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.3
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.3
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.2
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.6
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.5
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Plant protection,CUR_LCU,1.5
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,29.6
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,36.4
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,26.6
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,63.2
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,61.2
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,46.6
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,109.3
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,105.6
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Anti-epizootic measures,CUR_LCU,153.6
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,190.9
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,190.1
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,158.7
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,90.9
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,109.3
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,107.2
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,150.8
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,134.6
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Veterinary diagnostics,CUR_LCU,245.1
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,72.3
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,50.0
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,29.3
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,43.9
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,42.5
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,60.1
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,88.8
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,85.9
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Plant chemicals, protection and
quarantine",CUR_LCU,132.2
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,150.6
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,175.6
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,189.3
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,235.6
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,277.1
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,392.6
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,358.6
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,231.4
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services for the protection
of biodiversity and landscape",CUR_LCU,212.8
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,2.9
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,4.3
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,4.6
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,6.2
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,6.7
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,7.1
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,6.3
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Research and development work
related to environmental protection",CUR_LCU,6.3
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Environmental issues not classified elsewhere ,CUR_LCU,11.0
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Environmental issues not classified elsewhere ,CUR_LCU,11.2
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Environmental issues not classified elsewhere ,CUR_LCU,9.8
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Environmental issues not classified elsewhere ,CUR_LCU,11.2
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Environmental issues not classified elsewhere ,CUR_LCU,9.6
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Environmental issues not classified elsewhere ,CUR_LCU,163.5
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services on environmental
protection",CUR_LCU,6.3
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services on environmental
protection",CUR_LCU,2.2
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services on environmental
protection",CUR_LCU,2.6
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,"Expenditure on Other services on environmental
protection",CUR_LCU,7.7
